,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
0,Canon XF605 UHD 4K HDR Pro Camcorder,"$4,499","1"" CMOS Sensor, 4:2:2 10-Bit,H.265/H.264 MP4 Format, XF-AVC,UHD 4K up to 60 fps, 1080p to 120 fps,iOS App | 15x Optical/30x Digital Zoom",In Stock,https://static.bhphoto.com/images/images345x345/1629233149_1659385.jpg,https://www.bhphotovideo.com/c/product/1659385-REG/canon_xf605_4k_pro_camcorder.html,Canon
1,Blackmagic Design URSA Broadcast G2 Camera,"$3,995","6K CMOS Sensor, Dual Native ISO,2/3"" B4 Lens Mount & Active EF Mount,6K Blackmagic RAW Recording,Records to ProRes, H.265/264",In Stock,https://static.bhphoto.com/images/images345x345/1637060757_1674077.jpg,https://www.bhphotovideo.com/c/product/1674077-REG/blackmagic_design_ursa_broadcast_g2_camera.html,Blackmagic
2,Canon XA40 Professional UHD 4K Camcorder,"$1,599","8.29MP, 1/2.3"" CMOS Sensor,Up to UHD 4K30 Video Recording,Mini-HDMI Output,Integrated 20x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1470022-REG/canon_3666c002_xa40_professional_uhd_4k.html,Canon
3,Canon XA11 Compact Full HD Camcorder with HDMI and Composite Output,"$1,299","Native 1920 x 1080, 1/2.84"" CMOS Sensor,20x HD Zoom Lens,Canon DIGIC DV 4 Image Processor,Dynamic Image Stabilization",In Stock,,https://www.bhphotovideo.com/c/product/1364308-REG/canon_2218c005_xa11_compact_full_hd.html,Canon
4,Sony HXR-NX80 4K NXCAM with HDR & Fast Hybrid AF,"$2,298","Single 1"" Exmor RS CMOS Sensor,XAVC S 4K (3840 x 2160) at 100 Mb/s,2.4 GHz Wi-Fi, Live Streaming,4K HDR with Hybrid Log-Gamma (HLG)",In Stock,,https://www.bhphotovideo.com/c/product/1362801-REG/sony_hxr_nx80_full_hd_xdcam.html,Sony
5,Sony HXR-NX100 Full HD NXCAM Camcorder,"$1,498","Single 1"" Exmor R CMOS Sensor,Up to 1920 x 1080p60,Sony G Lens with 12x Optical Zoom,24x Clear Image Zoom, 48x Digital Zoom",In Stock,,https://www.bhphotovideo.com/c/product/1477964-REG/sony_hxrnx100_3_hxr_nx100_full_hd_nxcam.html,Sony
6,Mevo Start Live Streaming Camera (3-Pack),$973,"Stream and/or Record up to 1080p30,Three-Mic Array + External Audio Support,Controlled via Live Production Mevo App,6-Hour Battery; NDI-Enabled Video Output",In Stock,https://static.bhphoto.com/images/images345x345/1626798029_1644038.jpg,https://www.bhphotovideo.com/c/product/1644038-REG/mevo_961_000500_start_live_streaming_camera.html,Mevo
7,Panasonic AG-UX180 4K Professional Camcorder,"$2,695","DCI 4K Resolution, 1""-Type MOS Sensor,8-Mode Gamma, MOV/MP4/AVCHD Formats,3G/SD-SDI, 8-Bit 4:2:0 HDMI Output,Variable Rate Recording up to 120 fps",In Stock,,https://www.bhphotovideo.com/c/product/1442104-REG/panasonic_ag_ux180pj8_ag_ux180_4k_professional_camcorder.html,Panasonic
8,"Canon XA15 Compact Full HD Camcorder with SDI, HDMI, and Composite Output","$1,699","Native 1920 x 1080, 1/2.84"" CMOS Sensor,20x HD Zoom Lens,Canon Digic DV 4 Image Processor,Dynamic Image Stabilization",In Stock,,https://www.bhphotovideo.com/c/product/1364307-REG/canon_2217c006_xa15_compact_full_hd.html,Canon
9,Panasonic AG-UX90 UHD 4K Professional Camcorder,"$1,795","UHD 4K Resolution, 1.0-Type MOS Sensor,8-Mode Gamma, MOV/MP4/AVCHD Formats,Composite, 8-Bit 4:2:0 HDMI Video Output,Variable Rate Recording up to 60 fps",In Stock,,https://www.bhphotovideo.com/c/product/1250997-REG/panasonic_ag_ux90_4k_professional_camcorder.html,Panasonic
