الدولة,المحافظة,الجنسية,المستوي التعليمي,دبلوم نظام ٥ سنوات (فوق متوسط),الكلية/المعهد,عام التخرج,سنة الميلاد,النوع,الخدمة العسكرية,كيف علمت عن فرصنا
,,,,,,,,ذكر,,
مصر,اسوان,مصر,لا يجيد القراءة والكتابة,دبلوم صناعي خمس سنوات,كلية الهندسة,2027,2008,أنثى,طالب,الوسيط
الأردن,اسيوط,الأردن,يجيد القراءة والكتابة بلا شهادة,دبلوم زراعي خمس سنوات,كلية الصيدلة,2026,2007,,اعفاء نهائي,الاهرام
الإمارات العربية المتحدة,الأقصر,إثيوبيا,ابتدائية,دبلوم تجاري خمس سنوات,كلية الطب البشري,2025,2006,,اعفاء مؤقت,فيسبوك
البحرين,الاسكندرية,أذربيجان,إعدادية,دبلوم تجاري فندقي خمس سنوات,كلية العلوم / علوم الأرض / علوم البترول والتعدين,2024,2005,,ادى الخدمة,تلفزيون
الجزائر,الاسماعيلية,أرمينيا,ثانوية فنية نظام ٣ سنوات (متوسط),معهد فني صناعي,كلية الحاسبات والمعلومات / الذكاء الاصطناعي,2023,2004,,تاجيل,راديو
السودان,البحر الأحمر,آروبا,ثانوي عام / أزهري,معهد فني صحي,كلية الآثار,2022,2003,,فى الخدمة,رسائل نصية قصيرة (SMS)
الكويت,البحيرة,أريتريا,دبلوم نظام ٥ سنوات (فوق متوسط),معهد فني تجاري,كلية الزراعة / معهد تعاون وارشاد زراعي,2021,2002,,أخرى,صديق
المغرب,الجيزة,إسبانيا,مؤهل عالي,معهد فني سياحة وفنادق,كلية التجارة,2020,2001,,,اخرى
المملكة العربية السعودية,الدقهلية,أستراليا,,معهد فني خدمة اجتماعية,كلية الاقتصاد والعلوم السياسية,2019,2000,,,ملصقات وبوسترات
اليمن,السويس,أستونيا,,المعهد الفنى للتمريض,كلية التمريض,2018,1999,,,مندوبين فرصنا
تونس,الشرقية,أفغانستان,,فني منشات بحريه,كلية الإعلام,2017,1998,,,جوجل
عُمان,الغربية,ألبانيا,,فني للبصريات,كلية الحقوق,2016,1997,,,قهوة
قطر,الفيوم,ألمانيا,,فني رى وصرف ومساحه,كلية الآداب,2015,1996,,,ملصقات - أتوبيس
لبنان,القاهرة,أنتيغوا وبربودا,,,كلية رياض الأطفال / التربية للطفولة المبكرة,2014,1995,,,ملصقات - مترو
ليبيا,القليوبية,أندورا,,,كلية التربية النوعية,2013,1994,,,لوحة اعلانية بالشارع
,المنوفية,أندونيسيا,,,كلية العلاج الطبيعي,2012,1993,,,أغنية فرصنا
,المنيا,أنغولا,,,كلية طب الأسنان,2011,1992,,,عربية فرصنا
,الوادي الجديد,أنغويلا,,,كلية الطب البيطري,2010,1991,,,مبادرة سابق حلمك
,بني سويف,أورغواي,,,كلية دار العلوم,2009,1990,,,(UNHCR) المفوضية السامية للأمم المتحدة لشؤون اللاجئين
,بورسعيد,أوزبكستان,,,كلية التخطيط الإقليمي والعمراني,2008,1989,,,وزارة التضامن الاجتماعي- فرصة
,جنوب سيناء,أوغندا,,,كلية التربية,2007,1988,,,كشك الشغل
,دمياط,أوكرانيا,,,كلية الألسن,2006,1987,,,ابدأ رحلتك (وايز)
,سوهاج,إيران,,,كلية التربية الرياضية,2005,1986,,,مكتب خدمات التوظيف - بنها
,شمال سيناء,أيرلندا,,,كلية التربية الموسيقية,2004,1985,,,مكتب خدمات التوظيف - طنطا
,قنا,أيسلندا,,,كلية التربية الفنية,2003,1984,,,مكتب خدمات التوظيف - شبرا الخيمة
,كفر الشيخ,إيطاليا,,,كلية الفنون الجميلة,2002,1983,,,مكتب خدمات التوظيف - كفر الزيات
,مطروح,الأرجنتين,,,كلية الفنون التطبيقية / المعهد العالي للفنون التطبيقية,2001,1982,,,مبادرة وزارة التخطيط للتوظيف
,,الإقليم البريطاني في المحيط الهندي,,,كلية السياحة والفنادق / معهد عالي للسياحة والفنادق,2000,1981,,,مبادرة رابحة
,,الإكوادور,,,كلية الخدمة الإجتماعية / معهد عالي للخدمة الاجتماعية,1999,1980,,,
,,الإمارات العربية المتحدة,,,كلية الإقتصاد المنزلي,1998,1979,,,
,,الباهاما,,,كلية التعليم الصناعي,1997,1978,,,
,,البحرين,,,كلية العلوم الطبية التطبيقية,1996,1977,,,
,,البرازيل,,,كلية علوم ذوي الإعاقة والتأهيل,1995,1976,,,
,,البرتغال,,,كلية التكنولوجيا والتنمية,1994,1975,,,
