company,links,address,telephone,email,open,description,contacts,Cod_Fiscal,product_service,key_words,activity,service_area,opening_hours,payment_method,company_logo,photo_and_vid_gallary
CABINET INDIVIDUAL DE INSOLVENŢĂ SANDU EMILIA,"https://www.paginiaurii.ro//companii/Sector+1,+BUCURE%C5%9ETI/L6243367/CABINET+INDIVIDUAL+DE+INSOLVEN%C5%A2%C4%82+SANDU+EMILIA/","BD. DINICU GOLESCU, Nr. 43, Bl. 7, Sc. B, Et. PARTER, Ap. 34, Sector 1, BUCUREŞTI, Cod Postal 010868",0744-485 731,cabinsolvemy@gmail.com,<built-in function open>,"Descriere:
Servicii de specialitate legate de îndeplinirea activitatii de administrator judiciar, lichidator judiciar, administrator special, mandatar ad-hoc sau conciliator în conditiile legii: – reorganizari judiciare – lichidari judiciare – lichidari administrative – concordat preventiv – mandat ad-hoc – consultanta în domeniul insolventei – întocmire plan de reorganizare – expertize în domeniu insolventei – analiza solvabilitatii debitorilor – asistenta si consultanta în recuperarea creantelor – îndeplinirea atributiilor de administrator special în conditiile legii – întocmirea rapoartelor de analiza a societatii necesare stabilirii cauzelor care au dus la starea de încetare de plati precum si a celorlalte rapoarte cerute de legislatia insolventei – inventarierea activelor societatii în conformitate cu prevederile normelor în vigoare consultanta la întocmirea rapoartelor de evaluare a unor active care urmeaza a fi valorificate prin vânzare în cadrul procedurii insolventei – conducerea sau supravegherea activitatii societatii pe perioada de observatie, reorganizare judiciara si faliment – întocmirea planului de reorganizare si supravegherea respectarii acestuia studierea pietei în vederea identificarii unor potentiali clienti în vederea valorificarii bunurilor societatilor în insolventa – întocmirea strategiei de valorificare a activelor societatii aflate în insolventa, fie prin licitatie, fie prin negociere directa în conditiile Legii nr.85/2006 – lichidarea bunurilor societatii – întocmirea planurilor de distribuire a sumelor obtinute din lichidarea bunurilor societatii – întocmirea rapoartelor de închidere a procedurii insolventei în conditiile legii – formularea cererilor de antrenare a raspunderii membrilor organelor de supraveghere din cadrul societatii sau de conducere în conformitate cu prevederile prevederile legale","SANDU EMILIA
021-312 8514
0744-485 731
cabinsolvemy@gmail.com",32645579,"Deschiderea procedurii de insolventa


reorganizarea judiciara faliment


lichidarea judiciara


lichidarea voluntara


consultanta juridica


consultanta  în reorganizare


consultanta în lichidare


consultanta în managementul financiar al firmei


asistenta în recuperarea creantelor


consultanta în domeniul insolventei","Cabinet individual insolventa, reorganizari judiciare, lichidari judiciare, lichidari administrative, concordat preventiv, mandat ad-hoc, întocmire plan de reorganizare, expertize în domeniu insolventei, analiza solvabilitatii debitorilor",Consultanţă în afaceri şi finanţe,":
BUCUREŞTI, ILFOV","


Luni
9:00 - 18:00

Marţi
9:00 - 18:00

Miercuri
9:00 - 18:00

Joi
9:00 - 18:00

Vineri
9:00 - 18:00

Sâmbătă
9:00 - 14:00


","Numerar, Transfer Bancar, Ordin de plată", , 
MEGEPA CONSULT S.R.L.,https://www.paginiaurii.ro//companii/BAIA+MARE/L6254490/MEGEPA+CONSULT+S.R.L./,"BD. UNIRII, Nr. 16, BAIA MARE, Jud. MARAMUREŞ",0744-599 398,maremarcel@yahoo.com,<built-in function open>,"Descriere:
MEGEPA CONSULT S.R.L. vă oferă, prin intermediul unei echipe de experţi, soluţii europene prin fonduri europene: -servicii de management de proiect, -asistenţă în etapa de implementare, -obţinere finanţare rambursabilă şi nerambursabilă, -implementare proiecte. Servicii: -consultanţă în obţinere finanţare, -implementare proiect, -asistenţă tehnică întocmire cereri de finanţare, -dosare de achiziţii, -planuri de afaceri, -rapoarte de progres, -strategii de marketing. Vă stăm la dispoziţie pentru informaţii suplimentare şi colaborări!", ,15416680,"Consultanta fiscala Maramures


Consultanta in afaceri Maramures


Intocmire documentaţie tehnico-economică


Elaborarea planului de afaceri


Evaluarea firmei şi resurselor financiare


Întocmire studii de fezabilitate


Planuri de afaceri Maramures","consultanţă pentru investitori, consultanţă în accesarea fondurilor europene, consultanţă în accesarea fondurilor nerambursabile, înfiinţare firmă, consultanţă financiar-bancară, consultanţă în obţinere finanţare",Consultanţă în afaceri şi finanţe,":
MARAMUREŞ","


Luni
9:00 - 17:00

Marţi
9:00 - 17:00

Miercuri
9:00 - 17:00

Joi
9:00 - 17:00

Vineri
9:00 - 17:00


","Numerar, Bilet la ordin, Transfer Bancar, Ordin de plată",https://i.fcrmedia.com/paginiaurii.ro/logos/000/076/260/76260908_megepa_consult_s.r.l._logo.gif, 
CONSILIER CONSULTING GROUP S.R.L.,https://www.paginiaurii.ro//companii/BAC%C4%82U/L4503402/CONSILIER+CONSULTING+GROUP+S.R.L./,"STR. 9 MAI, Nr. 24, BACĂU, Cod Postal 600022, Jud. BACĂU",0744-694 730,ionuthordila@yahoo.com,<built-in function open>,"Descriere:
CONSILIER CONSULTING GROUP SRL din Bacău vă oferă, prin intermediul unei echipe de experţi, soluţii europene prin fonduri europene:-servicii de management de proiect,-asistenţă în etapa de implementare,-obţinere finanţare rambursabilă şi nerambursabilă,-implementare proiecte.Servicii:-consultanţă în obţinere finanţare,-implementare proiect,-asistenţă tehnică întocmire cereri de finanţare,-dosare de achiziţii,-planuri de afaceri,-rapoarte de progres,-strategii de marketing.Vă stăm la dispoziţie pentru informaţii suplimentare şi colaborări!","HORDILĂ IONUŢ
0744-694 730
ionuthordila@yahoo.com",8446379,"Servicii de management


Finanţare rambursabilă


Finanţare nerambursabilă


Consultanţă financiară


Întocmire planuri de afaceri


Strategii marketing","consultanţă, marketing, strategii, proiecte fonduri europene Bacău",Consultanţă în afaceri şi finanţe,":
BACĂU","


Luni
9:00 - 19:00

Marţi
9:00 - 19:00

Miercuri
9:00 - 19:00

Joi
9:00 - 19:00

Vineri
9:00 - 19:00


","Numerar, Filă CEC, Bilet la ordin, Transfer Bancar",https://i.fcrmedia.com/paginiaurii.ro/logos/000/074/110/74110225_consilier_consulting_group_s.r.l._logo.gif, 
MOLDAR EXPERT CONSULTING SRL,https://www.paginiaurii.ro//companii/BACAU/L6253730/MOLDAR+EXPERT+CONSULTING+SRL/,"STR. ALUNULUI, Nr. 1bis, Sc. A, Et. 1, Ap. 4, BACAU, Cod Postal 600371, Jud. BACÃU",0741-916 483,mihaimoldoveanu42@gmail.com,<built-in function open>,"Descriere:
MOLDAR EXPERT CONSULTING este un partener de incredere care poate furniza investitorilor straini cat mai multe informatii relevante cu privire la oportunitatile de investitii din Romania si mai ales, un partener familiarizat cu mediul de afaceri si cu legalitatea si fiscalitatea româna. Servicii oferite:Consultanta în afaceri pentru persoane fizice si juridice straine:Înfiintare firmaActe înfiintare, Statut, facilitarea obtinerii de spatii de birouri si productie.Consultanta fiscalaSistemul românesc de taxe si impozite. Facilitati fiscaleConsultanta juridicaContracte de mandat, contracte de reprezentare, contracte de management, etc.Consultanta financiar-bancaraConsilierea in obtinerea unui imprumut, sub forma de credit sau leasingConsultanta în accesarea fondurilor europene nerambursabileMOLDAR EXPERT CONSULTING colaboreaza :- cu entitati publice sau private pentru obtinerea de fonduri nerambursabile pentru dezvoltarea comunitatilor locale si a mediului economic privat.- cu parteneri din mediul de afaceri, pentru ca societatea noastra este constienta ca serviciile de consultanta constituie mai mult decât scrierea unei cereri de finantare sau a unui plan de afaceri.Analiza si planificare- Analiza oportunitatilor de finantare;credite, fonduri de investitii, ajutoare de stat si alte surse de finantare- Evaluarea proiectului si asistenta în întocmirea documentatieiManagementManagementul proiectului. Elaborarea proiectului, inventarierea resurselor, demersurile necesare pentru obtinerea finantarii. urmarirea continua a încadrarii în buget si a stadiului de realizareDocumentatiiÎntocmire studii de fezabilitate, documentatie tehnico-economica, durata si etapele de realizare precum si costul estimativ al investitiei.Elaborarea planului de afaceri , evaluarea firmei si resurselor financiare. Incepind cu luna septembrie se lanseaza noi programe de fonduri nerambursabile destinate IMM urilor: PNDR 6.2 si 6.4 , finantare intre 50000 si 200000 euro pentru activitati neagricole din mediul rural, POCU, finantare de 25000 euro pentru tineri intre 16 si 25 de ani, pentru inceperea de mici afaceri, se relanseaza masura 3 la OUG 130 din 2020 intr-un format nou. Contacteaza-ne si iti oferim tot suportul necesar pentru elaborarea proiectelor.","MIHAI MOLDOVEANU
0334-106006
0741- 916483
mihaimoldoveanu42@gmail.com",35190030,"Analiza oportunitatilor de finantare


Evaluarea proiectului si asistenta în întocmirea documentatiei


Managementul proiectului


Întocmire studii de fezabilitate


Intocmire documentatie tehnico-economica


Elaborarea planului de afaceri evaluarea firmei si resurselor financiare","Consultanta pentru investitori straini Bacau, Consultanta în accesarea fondurilor europene nerambursabile Bacau, Consultanta în afaceri pentru persoane fizice si juridice straine Bacau, Înfiintare firma Bacau, Consultanta fiscal Bacau, Consultanta juridica Bacau, Consultanta financiar-bancara Bacau",Consultanţă în afaceri şi finanţe,":
BACĂU","


Luni
9:00 - 17:00

Marţi
9:00 - 17:00

Miercuri
9:00 - 17:00

Joi
9:00 - 17:00

Vineri
9:00 - 17:00


",Numerar,https://i.fcrmedia.com/paginiaurii.ro/logos/000/075/425/75425845_moldar_expert_consulting_srl_logo.png, 
MOLDAR EXPERT CONSULTING SRL,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L6197111/MOLDAR+EXPERT+CONSULTING+SRL/,"STR. CONSTANTIN BRAILOIU, Nr. 3, Ap. 2, TIMIŞOARA, Cod Postal 300722, Jud. TIMIŞ",0741-916 483,mihaimoldoveanu42@gmail.com,<built-in function open>,"Descriere:
MOLDAR EXPERT CONSULTING este un partener de încredere care poate furniza investitorilor români şi străini cât mai multe informaţii relevante cu privire la oportunităţile de investiţii din România şi mai ales, un partener familiarizat cu mediul de afaceri şi cu legalitatea şi fiscalitatea română.Servicii oferite:Consultanţă în afaceri pentru persoane fizice şi juridice române şi străine:Înfiinţare firmăActe înfiinţare, Statut, facilitarea obţinerii de spaţii de birouri şi producţie.Consultanţă fiscalăSistemul românesc de taxe şi impozite. Facilităţi fiscaleConsultanţă juridicăContracte de mandat, contracte de reprezentare, contracte de management, etc.Consultanţă financiar-bancarăConsilierea în obţinerea unui împrumut, sub formă de credit sau leasingConsultanţă în accesarea fondurilor europene nerambursabileMOLDAR EXPERT CONSULTING colaborează:- cu entităţi publice sau private pentru obţinerea de fonduri nerambursabile pentru dezvoltarea comunităţilor locale şi a mediului economic privat.- cu parteneri din mediul de afaceri, pentru că societatea noastră este conştientă ca serviciile de consultanţă constituie mai mult decât scrierea unei cereri de finanţare sau a unui plan de afaceri.Analiză şi planificare- Analiza oportunităţilor de finanţare; credite, fonduri de investiţii, ajutoare de stat şi alte surse de finanţare- Evaluarea proiectului şi asistenţă în întocmirea documentaţieiManagementManagementul proiectului. Elaborarea proiectului, inventarierea resurselor, demersurile necesare pentru obţnerea finanţării. urmărirea continuă a încadrării în buget şi a stadiului de realizareDocumentaţiiÎntocmire studii de fezabilitate, documentaţie tehnico-economică, durata şi etapele de realizare precum şi costul estimativ al investiţiei.Elaborarea planului de afacer, evaluarea firmei şi resurselor financiare.  Incepind cu luna septembrie se lanseaza noi programe de fonduri nerambursabile destinate IMM urilor: PNDR 6.2 si 6.4 , finantare intre 50000 si 200000 euro pentru activitati neagricole din mediul rural, POCU, finantare de 25000 euro pentru tineri intre 16 si 25 de ani, pentru inceperea de mici afaceri, se relanseaza masura 3 la OUG 130 din 2020 intr-un format nou. Contacteaza ne si iti oferim tot suportul necesar pentru elaborarea proiectelor.","MIHAI MOLDOVEANU
0334-106 006
0741- 916 483
mihaimoldoveanu42@gmail.com",35190030,"Analiza oportunităţilor de finanţare


Evaluarea proiectului şi asistenţă în întocmirea documentaţiei


Managementul proiectului


Întocmire studii de fezabilitate


Întocmire documentaţie tehnico-economică


Elaborarea planului de afaceri


Evaluarea firmei şi resurselor financiare","consultanţă pentru investitori români şi străini, consultanţă în accesarea fondurilor europene Timişoara, consultanţă în accesarea fondurilor europene Bacău, consultanţă în accesarea fondurilor nerambursabile Timişoara, consultanţă în accesarea fondurilor nerambursabile Bacău, înfiinţare firmă, consultanţă financiar-bancară",Consultanţă în afaceri şi finanţe,":
TIMIŞ","


Luni
9:00 - 17:00

Marţi
9:00 - 17:00

Miercuri
9:00 - 17:00

Joi
9:00 - 17:00

Vineri
9:00 - 17:00

Sâmbătă
9:00 - 13:00


",Numerar,https://i.fcrmedia.com/paginiaurii.ro/logos/000/075/375/75375014_moldar_expert_consulting_srl_logo.png, 
AMN CONS S.R.L.,https://www.paginiaurii.ro//companii/CLUJ-NAPOCA/L6243102/AMN+CONS+S.R.L./,"STR. HOREA, Nr. 78, Et. 3, CLUJ-NAPOCA, Cod Postal 400275, Jud. CLUJ",0364-808 676,mihai.apostoaie@amncons.org,<built-in function open>,"Descriere:
AMN CONS vă pune la dispoziţie următoarele servicii:1. Administrare şi servicii complete de resurse umane: - contracte de muncă, încheiere, modificare suspendare şi încetare- gestionare REGES- evaluare performanţe- organigrama2. Administrare şi servicii complete de salarizare:- întocmirea statelor de plată a salariilor- declaraţia 112 privind contribuţiile sociale aferente salariilor- declaraţii fiscale- nota contabilă aferentă salariilor 3. Rapoarte lunare privind costurile salariale, folosirea timpului de lucru, evoluţia salariilor, costuri salarii vs buget.4. Consultanţă în legislaţia muncii.AMN CONS vă asigură prin contract confidenţialitatea totală a informaţiilor.", ,15900035,"Resurse umane


Registrul general de evidenţă a salariaţilor


Servicii complete de resurse umane şi salarizare


Legislaţia muncii


Întocmire contracte colective de muncă şi regulamente interne","contracte de muncă, reges, salarizare, state de plată, externalizare salarii",Consultanţă în afaceri şi finanţe,":
CLUJ","


Luni
8:00 - 19:00

Marţi
8:00 - 19:00

Miercuri
8:00 - 19:00

Joi
8:00 - 19:00

Vineri
8:00 - 19:00


","Numerar, Transfer Bancar",https://i.fcrmedia.com/paginiaurii.ro/logos/000/076/194/76194130_amn_cons_s.r.l._logo.gif, 
CENTRU CONSULT,https://www.paginiaurii.ro//companii/ALBA+IULIA/L6249108/CENTRU+CONSULT/,"STR. POLIGONULUI, Nr. 5A, ALBA IULIA, Cod Postal 510048, Jud. ALBA",0769-925 840,centruconsult@gmail.com,<built-in function open>,"Descriere:
Programul Naţional de Dezvoltare Rurală (PNDR) este un document în baza căruia poate fi accesat Fondul European Agricol pentru Dezvoltare Rurală (FEADR) prin care se acordă fonduri nerambursabile de la Uniunea Europeană şi Guvernul României pentru dezvoltarea economico - socială a spaţiului rural din România. FEADR este un instrument de finanţare creat de Uniunea Europeană pentru a sprijini ţările membre în implementarea Politicii Agricole Comune.PNDR este întocmit în concordanță cu liniile directoare strategice pentru dezvoltare rurală ale Uniunii Europene și ținând cont de necesitățile de dezvltare ale României.Prin PNDR există oportunităţi financiare pentru a realiza proiecte pentru dezvoltarea agriculturii şi a zonei rurale, atât pentru fermieri, cât și pentru societăţile private.", ,38203002,"Finanțare nerambursabilă pentru activități agricole


Cursuri de Calificare nivel I ""Lucrător creșterea animalelor"" și ""Lucrător cultura plantelor""


Consultant în finanţare nerambursabilă


Proiecte pentru dezvoltarea agriculturii


Tehnician în agricultură nivel III","fonduri nerambursabile în agricultură Alba, fonduri nerambursabile de la Uniunea Europeană, fonduri nerambursabile în zootehnie Alba",Consultanţă în afaceri şi finanţe,":
ALBA","


Luni
8:30 - 17:00

Marţi
8:30 - 17:00

Miercuri
8:30 - 17:00

Joi
8:30 - 17:00

Vineri
8:30 - 17:00


",Numerar,https://i.fcrmedia.com/paginiaurii.ro/logos/000/074/956/74956830_centru_consult_logo.png, 
ED PROJECT S.R.L.,https://www.paginiaurii.ro//companii/BRA%C5%9EOV/L4457830/ED+PROJECT+S.R.L./,"STR. ALEXANDRU IOAN CUZA, Nr. 48, BRAŞOV, Cod Postal 500085, Jud. BRAŞOV",0740-047 367,edproject@edproject.ro,<built-in function open>,"Descriere:
ED PROJECT SRL din Braşov vă oferă servicii de:*planuri de afaceri şi de investiţii*consultanţă în afaceri*management de proiect*finantari prin fonduri europene*cereri finanţări proiecte* studii de fezabilitate*consultanta IMM*due diligence, M&A*evaluări companii* evaluări proprietăți imobiliare* property management* audit energetic* supraveghere video clădiri și perimetru", ,15699188,"Întocmire planuri de afaceri şi de investiţii


Evaluări companii


Evaluări proprietăţi imobiliare


Management de proiect şi proprietăţi


Consultanţă în afaceri","Evaluari Brasov, fonduri europene Brasov, finantari, audit energetic, video property management",Consultanţă în afaceri şi finanţe,":
BRAŞOV","


Luni
10:00 - 17:00

Marţi
10:00 - 17:00

Miercuri
10:00 - 17:00

Joi
10:00 - 17:00

Vineri
10:00 - 17:00

Sâmbătă
Închis

Duminică
Închis


","Numerar, Transfer Bancar, Ordin de plată",https://i.fcrmedia.com/paginiaurii.ro/logos/000/073/992/73992116_ed_project_s.r.l._logo.gif, 
ARION EUROCONSULTANT S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4478572/ARION+EUROCONSULTANT+S.R.L./,"STR. SFÂNTUL CONSTANTIN, Nr. 24, BUCUREŞTI, Cod Postal 30217",0744-336 563, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
PRIM CONSULTING GROUP,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4337941/PRIM+CONSULTING+GROUP/,"STR. AVIATOR MARIN POPA, Nr. 17B, BUCUREŞTI, Cod Postal 11961",021-230 0708, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
